0,1,2,3,4,5
JGI3,JGI4,JGI5,JGI8,B06[O-O],0.9926705155473606
PW2,JGI5,JGI9,G2m,nROR,0.9919540877027511
PW2,G2v,G3v,G3e,nROR,0.9917213796143939
JGI9,G2m,Gu,Du,nROR,0.9913286865221039
Me,JGI3,JGI4,E3u,nROR,0.9910653208367124
MATS2v,JGI5,JGI9,G3e,nROR,0.9910456087224124
Me,RBF,PW2,JGI9,nROR,0.9910069549506972
MATS2v,JGI5,G2m,G3v,nROR,0.9909929445244369
Me,RBF,G2m,Gu,nROR,0.9909318803993074
Mv,PW4,E3m,Gu,nROR,0.9906813892907855
PW4,BELm1,E3u,G3e,nROR,0.9906429579154397
Me,G2u,E1u,Gu,nROR,0.9906329589421019
RBF,JGI6,JGI10,MEcc,nROR,0.990470032642851
BLI,IVDE,JGI8,G3m,nROR,0.9904197186025459
PW5,MATS8v,MEcc,G2m,nROR,0.9903056910302632
MATS4v,BELm1,JGI10,G2u,nROR,0.9902933157785901
Me,RBF,IVDE,G2m,nROR,0.9902930317821925
Mv,GATS3e,JGI3,E3u,nROR,0.9902599547690994
JGI3,MEcc,E2m,Gu,nROR,0.9900651061438321
MATS7v,MATS5e,JGI9,JGI10,nROR,0.9900406307340559
IVDE,MEcc,Gu,Dm,nROR,0.9900262927242722
Mv,JGI6,JGI10,PJI3,nROR,0.9900247287435234
RBF,MATS5m,JGI3,Gu,nROR,0.9899997886384487
Me,MATS6m,MATS7v,JGI6,nROR,0.989842256313316
MATS2v,GATS3p,G2u,E3v,nROR,0.989668463396815
Me,MATS5e,GATS8v,G3v,nROR,0.9896467334395171
MATS6m,MATS4v,G2u,G3v,nROR,0.9896386944029826
MATS2v,E3u,E3m,Du,nROR,0.9896216879735195
MATS5m,BELm1,E1u,G3e,nROR,0.9895923473810795
PW2,IVDE,MATS3m,E2u,nROR,0.9895564231190009
MATS4v,GATS3p,G2m,E3v,nROR,0.9894671628593881
MATS2v,GATS7e,JGI10,G3v,nROR,0.9893740855458284
MATS5m,JGI6,PJI3,Dm,nROR,0.9890520219745839
PW2,PJI2,E1u,E3m,nROR,0.9890444878713969
MATS8m,JGI8,E1s,Gu,nROR,0.9890214458712361
MATS5m,GATS7e,JGI8,G2m,nROR,0.9890129784237834
RBF,SIC3,GATS8v,JGI6,nROR,0.9889894932033054
MATS2v,P2u,E1u,G3v,nROR,0.9889283222497607
Me,MATS3m,GATS7e,MEcc,nROR,0.9888425009609568
GATS8v,DISPe,G2v,G3e,nROR,0.9886624308503003
RBF,SIC3,GATS5v,JGI8,nROR,0.9886127301626785
RBF,GATS2m,GATS3e,JGI9,nROR,0.9885499628377578
MATS8m,GATS3p,E3u,E2m,nROR,0.9885267717112618
DISPe,E2u,E3m,G2v,nROR,0.9885176797496905
MEcc,E3u,G2v,R4u,nROR,0.9879879287401431
Me,PJI2,MATS1m,MATS3v,nROR,0.987867739303454
MATS1m,MATS3v,GATS8v,JGI6,nROR,0.9878455566305137
PW2,GATS5m,JGI10,E2u,nROR,0.9876007699461237
GATS8v,JGI6,HOMA,Dm,nROR,0.9866160465846009
Mv,RBF,EEig02r,AROM,nROR,0.9863445846597334
